path: a-site half edge
site#     Density                            
0         0.0031604513163762033              
1         0.007681094234555414               
2         0.010611093997443193               
3         0.011638765986399626               
4         0.011599045012772091               
5         0.01118536555718343                
6         0.010712900757419281               
7         0.01026888696949831                
8         0.009858506101181504               
9         0.00947275220989716                
10        0.009106625650778789               
11        0.008759121195315217               
12        0.008430470235000858               
13        0.008120790198210718               
14        0.007829913440270116               
15        0.007557560559094507               
16        0.0073034635543290025              
17        0.00706739270906474                
18        0.006849143873058759               
19        0.006648528397590477               
20        0.006465377551177069               
21        0.006299593705316327               
22        0.006151078689081496               
23        0.006020255782042702               
24        0.005904815028420295               
25        0.0058167382114430385              
26        0.0057048691391058375              
27        0.005980716991567769               
28        0.0054287263554942625              
29        0.020609205754776903               
