xi=0.7980165596947255
path: a-site half edge
site#     Density                            
2         0.026481888998430483               
3         0.007563652716666797               
4         0.0021603006651727758              
5         0.0006170165578414586              
6         0.0001762298363316356              
7         5.0334070972298117e-05             
8         1.437621888200973e-05              
9         4.10607895111841e-06               
10        1.1727620795977124e-06             
11        3.3495968093056975e-07             
12        9.566986330901481e-08              
13        2.7324849128521682e-08             
14        7.804415665200566e-09              
