state#=1799      
E=-9.598171097981516e-10
-1.435022e-01+0.000000e+00j      -1.435022e-01+1.074893e-09j      
1.783516e-01+1.394941e-09j       1.783516e-01-2.730871e-09j       
-1.572275e-01-6.676677e-10j      -1.572275e-01+1.845369e-09j      
1.192787e-01-3.844616e-09j       1.192787e-01+2.951168e-09j       
-8.559405e-02+7.470275e-09j      -8.559405e-02-6.829139e-09j      
6.103510e-02-4.268933e-09j       6.103510e-02+3.811754e-09j       
-4.388226e-02-1.544023e-09j      -4.388226e-02+1.872720e-09j      
3.169689e-02-2.203352e-09j       3.169689e-02+1.965928e-09j       
-2.288221e-02+1.538548e-08j      -2.288221e-02-1.521409e-08j      
1.649140e-02-2.083233e-08j       1.649140e-02+2.070881e-08j       
-1.187966e-02+1.413244e-08j      -1.187966e-02-1.404346e-08j      
8.560666e-03-1.684613e-08j       8.560666e-03+1.678201e-08j       
-6.170922e-03+3.677925e-08j      -6.170922e-03-3.673302e-08j      
4.448291e-03-5.332957e-08j       4.448291e-03+5.329625e-08j       
-3.206162e-03+6.659966e-08j      -3.206162e-03-6.657564e-08j      
2.310768e-03-9.210970e-08j       2.310768e-03+9.209239e-08j       
-1.665474e-03+1.249736e-07j      -1.665474e-03-1.249611e-07j      
1.200417e-03-1.844338e-07j       1.200417e-03+1.844248e-07j       
-8.652215e-04+2.378709e-07j      -8.652215e-04-2.378644e-07j      
6.236174e-04-3.650333e-07j       6.236174e-04+3.650286e-07j       
-4.494766e-04+4.354870e-07j      -4.494766e-04-4.354836e-07j      
3.239650e-04-7.436279e-07j       3.239650e-04+7.436255e-07j       
-2.335044e-04+7.565282e-07j      -2.335044e-04-7.565265e-07j      
1.683094e-04-1.593477e-06j       1.683094e-04+1.593476e-06j       
-1.213340e-04+1.137963e-06j      -1.213340e-04-1.137963e-06j      
8.751892e-05-3.700889e-06j       8.751892e-05+3.700888e-06j       
-6.327334e-05+9.417003e-07j      -6.327334e-05-9.416999e-07j      
4.618533e-05-9.564975e-06j       4.618533e-05+9.564975e-06j       
-3.484618e-05-2.893692e-06j      -3.484618e-05+2.893692e-06j      
3.153834e-05-3.153832e-05j       3.153834e-05+3.153832e-05j       
1.074893e-09+1.435022e-01j       -4.792174e-17-1.435022e-01j      
-1.348331e-09-8.575561e-02j      -7.059844e-10+8.575561e-02j      
1.041374e-09+4.822004e-02j       6.801850e-10-4.822004e-02j       
3.477147e-10-2.860512e-02j       5.619791e-10+2.860512e-02j       
-1.268813e-09+1.912800e-02j      -1.412090e-09-1.912800e-02j      
-2.833501e-10-1.381306e-02j      -1.798845e-10+1.381306e-02j      
3.046026e-09+1.010821e-02j       2.970311e-09-1.010821e-02j       
-2.957468e-09-7.318626e-03j      -2.902648e-09+7.318626e-03j      
-3.021505e-10+5.260743e-03j      -3.415558e-10-5.260743e-03j      
9.490979e-10-3.782425e-03j       9.774299e-10+3.782425e-03j       
3.755224e-09+2.725996e-03j       3.734805e-09-2.725996e-03j       
-7.431380e-09-1.966363e-03j      -7.416651e-09+1.966363e-03j      
5.956384e-09+1.417769e-03j       5.945764e-09-1.417769e-03j       
-5.760295e-09-1.021719e-03j      -5.752642e-09+1.021719e-03j      
1.043981e-08+7.362741e-04j       1.043430e-08-7.362741e-04j       
