state#=1800      
E=9.598173400090213e-10
1.435021e-01+0.000000e+00j       1.435021e-01+1.074894e-09j       
-1.783515e-01+1.394942e-09j      -1.783515e-01-2.730872e-09j      
1.572274e-01-6.676677e-10j       1.572274e-01+1.845370e-09j       
-1.192786e-01-3.844618e-09j      -1.192786e-01+2.951169e-09j      
8.559401e-02+7.470280e-09j       8.559401e-02-6.829143e-09j       
-6.103507e-02-4.268936e-09j      -6.103507e-02+3.811756e-09j      
4.388224e-02-1.544024e-09j       4.388224e-02+1.872720e-09j       
-3.169688e-02-2.203353e-09j      -3.169688e-02+1.965930e-09j      
2.288220e-02+1.538549e-08j       2.288220e-02-1.521409e-08j       
-1.649140e-02-2.083234e-08j      -1.649140e-02+2.070882e-08j      
1.187966e-02+1.413245e-08j       1.187966e-02-1.404346e-08j       
-8.560662e-03-1.684614e-08j      -8.560662e-03+1.678202e-08j      
6.170919e-03+3.677926e-08j       6.170919e-03-3.673304e-08j       
-4.448289e-03-5.332960e-08j      -4.448289e-03+5.329628e-08j      
3.206160e-03+6.659969e-08j       3.206160e-03-6.657568e-08j       
-2.310767e-03-9.210974e-08j      -2.310767e-03+9.209243e-08j      
1.665473e-03+1.249737e-07j       1.665473e-03-1.249612e-07j       
-1.200416e-03-1.844339e-07j      -1.200416e-03+1.844249e-07j      
8.652211e-04+2.378710e-07j       8.652211e-04-2.378645e-07j       
-6.236171e-04-3.650335e-07j      -6.236171e-04+3.650288e-07j      
4.494764e-04+4.354872e-07j       4.494764e-04-4.354838e-07j       
-3.239649e-04-7.436283e-07j      -3.239649e-04+7.436259e-07j      
2.335043e-04+7.565286e-07j       2.335043e-04-7.565268e-07j       
-1.683093e-04-1.593478e-06j      -1.683093e-04+1.593476e-06j      
1.213339e-04+1.137964e-06j       1.213339e-04-1.137963e-06j       
-8.751888e-05-3.700891e-06j      -8.751888e-05+3.700890e-06j      
6.327331e-05+9.417008e-07j       6.327331e-05-9.417003e-07j       
-4.618531e-05-9.564980e-06j      -4.618531e-05+9.564979e-06j      
3.484616e-05-2.893694e-06j       3.484616e-05+2.893694e-06j       
-3.153832e-05-3.153834e-05j      -3.153832e-05+3.153834e-05j      
1.074893e-09-1.435021e-01j       -8.326673e-17+1.435021e-01j      
-1.348331e-09+8.575556e-02j      -7.059847e-10-8.575556e-02j      
1.041374e-09-4.822002e-02j       6.801852e-10+4.822002e-02j       
3.477149e-10+2.860510e-02j       5.619796e-10-2.860510e-02j       
-1.268814e-09-1.912799e-02j      -1.412091e-09+1.912799e-02j      
-2.833504e-10+1.381306e-02j      -1.798843e-10-1.381306e-02j      
3.046027e-09-1.010821e-02j       2.970312e-09+1.010821e-02j       
-2.957469e-09+7.318622e-03j      -2.902650e-09-7.318622e-03j      
-3.021505e-10-5.260741e-03j      -3.415558e-10+5.260741e-03j      
9.490984e-10+3.782423e-03j       9.774303e-10-3.782423e-03j       
3.755226e-09-2.725994e-03j       3.734807e-09+2.725994e-03j       
-7.431384e-09+1.966362e-03j      -7.416655e-09-1.966362e-03j      
5.956387e-09-1.417768e-03j       5.945767e-09+1.417768e-03j       
-5.760298e-09+1.021718e-03j      -5.752645e-09-1.021718e-03j      
1.043982e-08-7.362737e-04j       1.043430e-08+7.362737e-04j       
-1.597693e-08+5.306647e-04j      -1.597296e-08-5.306647e-04j      
2.247765e-08-3.825057e-04j       2.247478e-08+3.825057e-04j       
-2.863456e-08+2.757040e-04j      -2.863250e-08-2.757040e-04j      
4.240897e-08-1.987141e-04j       4.240748e-08+1.987141e-04j       
-5.333722e-08+1.432223e-04j      -5.333615e-08-1.432223e-04j      
8.579548e-08-1.032283e-04j       8.579471e-08+1.032283e-04j       
-9.632017e-08+7.440257e-05j      -9.631961e-08-7.440257e-05j      
1.784674e-07-5.362503e-05j       1.784670e-07+5.362503e-05j       
-1.588186e-07+3.864683e-05j      -1.588183e-07-3.864683e-05j      
3.953062e-07-2.784480e-05j       3.953060e-07+2.784480e-05j       
-2.022579e-07+2.004123e-05j      -2.022577e-07-2.004123e-05j      
9.650632e-07-1.436425e-05j       9.650631e-07+1.436425e-05j       
9.226356e-09+1.011562e-05j       9.226432e-09-1.011562e-05j       
2.593478e-06-6.615310e-06j       2.593477e-06+6.615310e-06j       
2.533681e-06+2.533680e-06j       2.533681e-06-2.533680e-06j       
-8.575556e-02+7.059848e-10j      -8.575556e-02-1.348331e-09j      
2.635439e-02-1.405879e-09j       2.635439e-02+1.603285e-09j       
2.142722e-02-1.393223e-09j       2.142722e-02+1.553722e-09j       
-3.780556e-02+5.076465e-09j      -3.780556e-02-5.359645e-09j      
3.434709e-02-3.043776e-09j       3.434709e-02+3.301051e-09j       
-2.544808e-02-4.509905e-09j      -2.544808e-02+4.319288e-09j      
1.786180e-02+5.893223e-09j       1.786180e-02-5.759431e-09j       
-1.266864e-02+5.520135e-09j      -1.266864e-02-5.615028e-09j      
9.146252e-03-1.438264e-08j       9.146252e-03+1.445115e-08j       
-6.629480e-03+4.105659e-09j      -6.629480e-03-4.155317e-09j      
4.786482e-03+8.319936e-09j       4.786482e-03-8.284084e-09j       
-3.445774e-03+3.745511e-09j      -3.445774e-03-3.771322e-09j      
2.480875e-03-2.200385e-08j       2.480875e-03+2.202243e-08j       
-1.788087e-03+1.699889e-08j      -1.788087e-03-1.701229e-08j      
1.289287e-03-1.302073e-08j       1.289287e-03+1.303039e-08j       
-9.294217e-04+2.601013e-08j      -9.294217e-04-2.601710e-08j      
6.698355e-04-3.481575e-08j       6.698355e-04+3.482077e-08j       
-4.827428e-04+6.122933e-08j      -4.827428e-04-6.123295e-08j      
3.479379e-04-5.699060e-08j       3.479379e-04+5.699320e-08j       
-2.507880e-04+1.288645e-07j      -2.507880e-04-1.288664e-07j      
1.807607e-04-7.900029e-08j       1.807607e-04+7.900165e-08j       
-1.302830e-04+3.081300e-07j      -1.302830e-04-3.081309e-07j      
9.389913e-05-3.661125e-08j       9.389913e-05+3.661195e-08j       
-6.767174e-05+8.230831e-07j      -6.767174e-05-8.230836e-07j      
4.875617e-05+3.824398e-07j       4.875617e-05-3.824394e-07j       
-3.508559e-05+2.481437e-06j      -3.508559e-05-2.481437e-06j      
2.512172e-05+2.511447e-06j       2.512172e-05-2.511446e-06j       
-1.760504e-05+8.273655e-06j      -1.760504e-05-8.273655e-06j      
1.133533e-05+1.133534e-05j       1.133533e-05-1.133534e-05j       
-2.893692e-06+3.484618e-05j      -2.893692e-06-3.484618e-05j      
-2.730872e-09+1.783515e-01j      -1.394942e-09-1.783515e-01j      
1.603285e-09-2.635439e-02j       1.405879e-09+2.635439e-02j       
8.715209e-10-1.763365e-02j       7.394373e-10+1.763365e-02j       
-3.194372e-09+1.862468e-02j      -3.054865e-09-1.862468e-02j      
1.535744e-09-1.092600e-02j       1.453904e-09+1.092600e-02j       
3.715753e-09+5.912980e-03j       3.760043e-09-5.912980e-03j       
-5.282209e-09-3.801945e-03j      -5.310687e-09+3.801945e-03j      
-1.310080e-09+2.830284e-03j      -1.288880e-09-2.830284e-03j      
7.334268e-09-2.126718e-03j       7.318338e-09+2.126718e-03j       
-1.497800e-09+1.542858e-03j      -1.486243e-09-1.542858e-03j      
-8.861197e-09-1.100444e-03j      -8.869440e-09+1.100444e-03j      
6.402180e-09+7.880698e-04j       6.408083e-09-7.880698e-04j       
4.107082e-09-5.686166e-04j       4.102823e-09+5.686166e-04j       
-3.051175e-09+4.109561e-04j      -3.048096e-09-4.109561e-04j      
-5.577643e-09-2.964142e-04j      -5.579863e-09+2.964142e-04j      
7.560888e-09+2.134893e-04j       7.562487e-09-2.134893e-04j       
-7.341261e-09-1.537865e-04j      -7.342413e-09+1.537865e-04j      
5.428678e-09+1.108477e-04j       5.429508e-09-1.108477e-04j       
-1.421120e-08-7.991370e-05j      -1.421180e-08+7.991370e-05j      
1.036414e-08+5.760337e-05j       1.036457e-08-5.760337e-05j       
-3.590004e-08-4.151567e-05j      -3.590035e-08+4.151567e-05j      
7.239366e-09+2.992103e-05j       7.239590e-09-2.992103e-05j       
-9.283869e-08-2.156571e-05j      -9.283885e-08+2.156571e-05j      
-3.551300e-08+1.554356e-05j      -3.551289e-08-1.554356e-05j      
-2.749702e-07-1.120232e-05j      -2.749703e-07+1.120232e-05j      
-2.585356e-07+8.073558e-06j      -2.585355e-07-8.073558e-06j      
-9.081872e-07-5.822812e-06j      -9.081872e-07+5.822812e-06j      
-1.244009e-06+4.218502e-06j      -1.244008e-06-4.218502e-06j      
-3.093384e-06-3.093382e-06j      -3.093384e-06+3.093382e-06j      
-6.615313e-06+2.593476e-06j      -6.615313e-06-2.593476e-06j      
4.822002e-02-6.801853e-10j       4.822002e-02+1.041374e-09j       
1.763365e-02-7.394371e-10j       1.763365e-02+8.715208e-10j       
-2.371399e-02+4.077543e-09j      -2.371399e-02-4.255171e-09j      
5.982574e-03-3.094055e-09j       5.982574e-03+3.138868e-09j       
7.981749e-03-4.320364e-09j       7.981749e-03+4.380150e-09j       
-1.181753e-02+8.332766e-09j      -1.181753e-02-8.421284e-09j      
9.981500e-03+1.628083e-09j       9.981500e-03-1.553318e-09j       
-7.081294e-03-1.483910e-08j      -7.081294e-03+1.478606e-08j      
4.897674e-03+7.320010e-09j       4.897674e-03-7.283324e-09j       
-3.488739e-03+1.484535e-08j      -3.488739e-03-1.487148e-08j      
2.535673e-03-1.208623e-08j       2.535673e-03+1.210522e-08j       
-1.840953e-03-1.783498e-08j      -1.840953e-03+1.782119e-08j      
1.327152e-03+2.110818e-08j       1.327152e-03-2.109824e-08j       
-9.542033e-04+6.838044e-09j      -9.542033e-04-6.845191e-09j      
6.869929e-04-3.953717e-09j       6.869929e-04+3.958863e-09j       
-4.953791e-04-1.668953e-08j      -4.953791e-04+1.668582e-08j      
3.572644e-04+1.467711e-08j       3.572644e-04-1.467444e-08j       
-2.575226e-04-3.117155e-08j      -2.575226e-04+3.116962e-08j      
1.855748e-04+4.351531e-09j       1.855748e-04-4.350141e-09j       
-1.337394e-04-7.868214e-08j      -1.337394e-04+7.868114e-08j      
9.639704e-05-2.878815e-08j       9.639704e-05+2.878888e-08j       
-6.948375e-05-2.366968e-07j      -6.948375e-05+2.366963e-07j      
5.008312e-05-2.181266e-07j       5.008312e-05+2.181270e-07j       
-3.610120e-05-7.753964e-07j      -3.610120e-05+7.753961e-07j      
2.603223e-05-1.053191e-06j       2.603223e-05+1.053191e-06j       
-1.880148e-05-2.743396e-06j      -1.880148e-05+2.743396e-06j      
1.366823e-05-4.502466e-06j       1.366823e-05+4.502466e-06j       
-1.020127e-05-1.020127e-05j      -1.020127e-05+1.020127e-05j      
8.273651e-06-1.760505e-05j       8.273650e-06+1.760505e-05j       
-9.564975e-06-4.618533e-05j      -9.564975e-06+4.618533e-05j      
1.845370e-09-1.572274e-01j       6.676676e-10+1.572274e-01j       
1.553722e-09-2.142722e-02j       1.393223e-09+2.142722e-02j       
-4.255171e-09+2.371399e-02j      -4.077543e-09-2.371399e-02j      
2.651504e-09-2.740296e-03j       2.630978e-09+2.740296e-03j       
3.970287e-09-6.149452e-03j       3.924225e-09+6.149452e-03j       
-7.576872e-09+5.491097e-03j      -7.535742e-09-5.491097e-03j      
-1.260447e-11-2.966674e-03j      -3.482570e-11+2.966674e-03j      
1.108833e-08+1.523559e-03j       1.109975e-08-1.523559e-03j       
-7.099734e-09-1.007276e-03j      -7.107279e-09+1.007276e-03j      
-1.075148e-08+7.852468e-04j      -1.074559e-08-7.852468e-04j      
1.452779e-08-5.976875e-04j       1.452331e-08+5.976875e-04j       
5.265878e-09+4.300829e-04j       5.269100e-09-4.300829e-04j       
-1.545081e-08-3.041359e-04j      -1.545309e-08+3.041359e-04j      
-1.593315e-09+2.175899e-04j      -1.591685e-09-2.175899e-04j      
1.267728e-08-1.574470e-04j       1.267610e-08+1.574470e-04j       
-3.828890e-09+1.139778e-04j      -3.828036e-09-1.139778e-04j      
-1.050061e-09-8.217878e-05j      -1.050676e-09+8.217878e-05j      
